ticker,close_price,st72_value,DMA_200,DMA_10,datee
LT,3934.7,3726.0,3714.17,3822.31,20260129
AXISBANK,1337.8,1249.5,1188.73,1300.51,20260129
NTPC,357.85,337.0,333.32,344.6,20260129
MUTHOOTFIN,4060.8,3844.7,2977.2,3920.65,20260129
TATAPOWER,363.5,344.5,388.65,356.39,20260129
INDUSTOWER,438.15,409.1,387.01,424.75,20260129
LGEINDIA,1424.9,1352.8,nan,1389.41,20260129
POWERINDIA,18223.0,16787.7,18517.22,16939.7,20260129
NMDC,84.13,77.8,73.09,80.45,20260129
STARHEALTH,457.05,426.2,448.04,437.95,20260129
ECLERX,4681.3,4144.9,3956.95,4442.36,20260129
GMDCLTD,574.55,520.0,467.59,546.56,20260129
CGCL,178.13,165.9,180.2,174.04,20260129
GPIL,259.05,239.5,224.48,251.1,20260129
VGUARD,330.7,306.6,360.86,312.16,20260129
TMB,590.8,541.2,462.34,561.21,20260129
APOLLO,253.2,228.6,227.8,236.16,20260129
