ticker,close_price,st73_value,st72_value,DMA_200,DMA_10,datee
BAJFINANCE,1066.6,1037.0,1080.8,912.97,1058.08,20251107
INFY,1476.8,1427.1,1454.2,1546.36,1485.6,20251107
LICI,924.15,872.2,878.8,855.92,905.33,20251107
HINDUNILVR,2414.0,2508.4,2476.6,2379.84,2446.02,20251107
LT,3882.5,3818.5,3990.7,3517.07,3946.65,20251107
ITC,404.05,422.7,417.2,412.56,414.25,20251107
MARUTI,15479.0,16291.9,15987.8,13136.28,15945.9,20251107
M&M,3690.2,3416.3,3505.0,3111.38,3573.47,20251107
KOTAKBANK,2088.3,2190.7,2153.6,2059.69,2126.79,20251107
HCLTECH,1512.4,1465.1,1492.7,1548.21,1534.47,20251107
SUNPHARMA,1691.4,1630.8,1655.3,1680.11,1695.43,20251107
AXISBANK,1222.8,1183.8,1203.7,1119.92,1235.88,20251107
ULTRACEMCO,11849.0,12269.6,12119.4,11753.27,11929.2,20251107
BAJAJFINSV,2102.1,2058.9,2132.6,1968.89,2104.36,20251107
TITAN,3769.3,3586.1,3657.1,3428.13,3749.91,20251107
NTPC,326.1,340.7,335.2,330.79,333.41,20251107
ONGC,252.2,243.5,247.8,240.75,253.53,20251107
ADANIPORTS,1448.3,1397.8,1475.3,1307.89,1440.59,20251107
BEL,414.25,402.2,404.6,352.92,414.75,20251107
HAL,4626.6,4797.7,4725.5,4417.41,4679.29,20251107
ADANIPOWER,151.48,151.1,162.5,118.32,158.6,20251107
JSWSTEEL,1171.7,1137.6,1160.9,1036.12,1181.7,20251107
ADANIENT,2369.4,2550.4,2483.3,2411.44,2452.28,20251107
ETERNAL,306.1,333.4,324.0,266.97,322.03,20251107
POWERGRID,272.0,286.3,281.1,287.05,284.26,20251107
DMART,4011.0,4254.9,4181.1,4138.81,4163.68,20251107
ASIANPAINT,2613.8,2466.3,2511.5,2361.57,2530.34,20251107
BAJAJ-AUTO,8721.5,9065.8,8936.3,8348.59,8886.9,20251107
WIPRO,236.49,247.1,243.9,257.4,240.4,20251107
NESTLEIND,1262.7,1215.1,1233.3,1168.52,1270.4,20251107
COALINDIA,376.0,387.3,385.3,368.72,377.77,20251107
IOC,169.16,159.5,162.7,138.14,164.6,20251107
TATASTEEL,181.37,173.1,176.8,153.81,181.07,20251107
INDIGO,5583.5,5906.2,5816.5,5354.44,5705.3,20251107
HINDZINC,474.5,465.2,488.0,443.4,476.03,20251107
VEDL,515.05,476.9,489.4,429.87,507.37,20251107
