rank,ticker,pct_return,total_pnl,st_config,flip_date,close_price,st_value,ema_50,ema_200,above_ema50,above_ema200,above_both
1,63MOONS,241.97,24196.92,ST73,2026-09-04,868.25,761.22,774.63,714.48,True,True,True
2,IIFLCAPS,221.31,22130.98,ST72,2026-09-04,339.4,332.13,336.36,328.3,True,True,True
3,JUBLPHARMA,106.28,10627.7,ST72,2026-09-07,997.75,917.2,928.87,967.71,True,True,True
4,SPECTRUM,87.44,8744.05,ST72,2026-09-04,2611.1,2338.57,2143.31,1729.3,True,True,True
5,ZYDUSWELL,86.33,8632.64,ST73,2026-09-07,558.15,504.71,532.97,497.9,True,True,True
6,NRBBEARING,79.7,7970.07,ST72,2026-09-07,489.6,446.57,444.65,363.19,True,True,True
7,HERITGFOOD,78.81,7880.54,ST72,2026-09-04,382.15,353.05,355.22,368.54,True,True,True
8,SPLPETRO,73.23,7323.19,ST72,2026-09-04,828.4,747.16,718.68,690.76,True,True,True
9,TITAGARH,71.46,7145.85,ST73,2026-09-07,880.8,799.88,842.6,819.48,True,True,True
10,RML,59.8,5979.84,ST72,2026-09-04,1390.0,1250.5,1117.5,956.0,True,True,True
11,RML,59.8,5979.84,ST73,2026-09-04,1390.0,1182.16,1117.5,956.0,True,True,True
12,APOLLO,54.65,5464.69,ST72,2026-09-07,417.9,389.91,389.23,336.5,True,True,True
13,RAIN,47.08,4708.11,ST72,2026-09-04,217.81,199.67,204.67,169.45,True,True,True
