curl https://api.kite.trade/orders/regular \
  -H "X-Kite-Version: 3" \
  -H "Authorization: token api_key:kite" \
  -d "tradingsymbol=GAIL" \
  -d "exchange=NSE" \
  -d "transaction_type=BUY" \
  -d "order_type=MARKET" \
  -d "quantity=55" \
  -d "product=CNC" \
  -d "validity=DAY"
curl https://api.kite.trade/orders/regular \
  -H "X-Kite-Version: 3" \
  -H "Authorization: token api_key:kite" \
  -d "tradingsymbol=BAJFINANCE" \
  -d "exchange=NSE" \
  -d "transaction_type=BUY" \
  -d "order_type=MARKET" \
  -d "quantity=9" \
  -d "product=CNC" \
  -d "validity=DAY"
